id,gender,age,education,combined_covid_conspriacy,china_covid_conspiracy,generic_covid_conspiracy,generic_covid_conspiracy_wo_hoax,combined_covid_conspriacy_wo_hoax,negative_feelings_italy,negative_feelings_china,negative_feelings_roma,social_distance_italy,social_distance_china,social_distance_roma,discrimination_italy,discrimination_china,discrimination_roma,italy_composite,china_composite,roma_comspotie,information_exposure,anxiety,lack_of_control
1,2,36,5,2.58333333333333,2.5,2.625,2.71428571428571,2.63636363636364,67,100,100,3,7,7,1,7,7,.505971354480256,2.57644303582697,1.60357529643955,5.66666666666667,6.5,5.5
2,1,19,1,3.58333333333333,4.25,3.25,3.57142857142857,3.81818181818182,50,96,12,5,7,7,3,7,5,1.40080583366086,2.53944640944425,.690784257561788,5.33333333333333,3.75,5
3,1,26,2,2.91666666666667,3.25,2.75,3,3.09090909090909,55,75,65,4.66666666666667,5.33333333333333,5.33333333333333,4,5,3,1.43959796325718,1.52846328968669,.437326146994081,4.66666666666667,5.75,6
4,2,29,4,2.33333333333333,2.25,2.375,2.42857142857143,2.36363636363636,50,50,50,3,2.66666666666667,3.66666666666667,3,3,3,.604311784613338,.157034584120209,-.139480909278887,4.33333333333333,2.5,4
5,1,22,3,2.08333333333333,1.25,2.5,2.28571428571429,1.90909090909091,68,42,100,1,1,7,1,1,1,-.279204242597076,-.720845056422691,1.00752458201231,3,1,2.25
6,1,40,3,2.91666666666667,1.25,3.75,3.57142857142857,2.72727272727273,38,68,69,1,2,5,1,6,7,-.554964575745165,.446277942165834,.753702176474656,3,1,1
7,1,38,3,5,5,5,5,5,50,50,50,1,1,3,1,1,1,-.44466044248593,-.646851803657256,-.535287769830642,3.66666666666667,6.75,4
8,1,31,3,2.5,2.25,2.625,2.71428571428571,2.54545454545455,20,80,99,1.66666666666667,3,6,2,2,2,-.328329263448096,.422544037829109,.819447108429877,7,6.25,5.75
9,2,56,5,3,2.25,3.375,3.28571428571429,2.90909090909091,30,41,50,1,1.33333333333333,3,2,3,2,-.501249161968261,-.382714765269216,-.438260206635882,5,3.25,4.5
10,1,44,2,2.25,1.5,2.625,2.57142857142857,2.18181818181818,50,50,50,1,1,1,3,3,3,-.19015743725314,-.415864971364056,-.893721369218831,3,1,2
11,1,25,3,1.08333333333333,1.25,1,1,1.09090909090909,49,99,99,1,1,2,4,4,4,-.0720979457416819,.152837117970832,-.121253015274753,5,5,4
12,1,31,1,2.41666666666667,2,2.625,2.85714285714286,2.54545454545455,60,62,90,4,3,5.66666666666667,3,3,7,1.09346650659594,.36738629396694,1.14414937935688,4,2.75,2.5
13,1,45,3,2.41666666666667,2.75,2.25,2.28571428571429,2.45454545454545,29,82,50,2,6,4.66666666666667,2,6,2,-.113206562139958,1.94981871548803,.0336158127205285,7,6,3
14,1,31,2,3.08333333333333,3,3.125,3.42857142857143,3.27272727272727,28,32,65,1,2,5,4,4,7,-.265130178945344,-.1051795037122,.777738304368327,3,4.75,4.25
15,1,48,3,2.16666666666667,2,2.25,2.42857142857143,2.27272727272727,65,80,90,4.33333333333333,4,4.33333333333333,4,5,6,1.39806025251021,1.12653481520985,.671904513767934,6,5,4.5
16,1,25,3,2.25,2.5,2.125,2.14285714285714,2.27272727272727,43,11,36,4,1.33333333333333,1.66666666666667,4,6,5,1.06232737956317,-.313709214699796,-.629060157994045,5,4,3
17,1,41,3,1.08333333333333,1,1.125,1.14285714285714,1.09090909090909,40,40,50,1,1,3.33333333333333,3,3,2,-.282077548302503,-.508356537320849,-.338541450826321,4,2.75,3.25
18,1,40,3,3.25,3.5,3.125,3.14285714285714,3.27272727272727,51,65,63,3,3.66666666666667,3.33333333333333,2,4,2,.48625229310188,.764609536856402,-.229988263385502,5.66666666666667,5.25,4
19,1,45,2,1.16666666666667,1,1.25,1.28571428571429,1.18181818181818,48,58,60,1,3.33333333333333,3.33333333333333,4,4,7,-.0812899568466183,.570608381759859,.239316053704181,3,4,2.75
20,1,37,3,1.91666666666667,1.25,2.25,2.42857142857143,2,50,50,50,2,2,2,1,1,1,-.0474258315526904,-.302205718187147,-.810040500111043,4.66666666666667,1,4.25
21,1,44,3,1.25,1,1.375,1.28571428571429,1.18181818181818,18,19,49,2,2.33333333333333,5,3,3,2,-.0870671816778629,-.250248227088345,.11835381694707,4.33333333333333,2.5,2.25
22,1,30,3,3.33333333333333,1.25,4.375,4.42857142857143,3.27272727272727,50,50,98,1,1,3.66666666666667,4,3,7,-.0629059346367457,-.415864971364056,.623741676866012,3,3.25,3.25
23,2,29,3,2.08333333333333,2,2.125,2.14285714285714,2.09090909090909,45,47,48,1,1,1,1,4,1,-.490620498010611,-.328119025004494,-1.1086346558628,4.66666666666667,2.75,3
24,1,32,3,4,3.75,4.125,4.14285714285714,4,0,10,90,4.33333333333333,4.33333333333333,3.33333333333333,4,7,1,.805794019168264,.796212653422035,-.113288933199642,7,7,7
25,1,25,3,1.25,1.5,1.125,1.14285714285714,1.27272727272727,50,50,100,1,1,4,1,5,4,-.44466044248593,-.184878139070855,.441664790630182,4,1,1.25
26,1,39,3,1.75,2.25,1.5,1.28571428571429,1.63636363636364,30,60,75,2.66666666666667,1,3.66666666666667,1,3,1,.0314475150528608,-.323373405407263,-.158950761995842,5.66666666666667,6.75,6.5
27,2,42,3,3,2.75,3.125,3.28571428571429,3.09090909090909,0,50,50,1,2.33333333333333,2,1,1,1,-.904260997732745,-.198677546202027,-.816906394109948,4,2.75,2
28,1,47,3,2.5,2.5,2.5,2.42857142857143,2.45454545454545,35,15,80,3.33333333333333,3.33333333333333,5.33333333333333,3,2,2,.599940246677735,-.0751229689049279,.445975437020105,5.33333333333333,1.75,3.5
29,1,47,3,1.16666666666667,1,1.25,1.28571428571429,1.18181818181818,30,40,60,1,1,2.66666666666667,1,1,2,-.628500664584656,-.73934336961405,-.447650270062287,4,4.75,5.5
30,1,48,2,1.58333333333333,1,1.875,1.71428571428571,1.45454545454545,31,30,43,2,2,5,2,2,2,-.09274690590694,-.380393536138426,.0795906042886319,4.33333333333333,2,2.75
31,1,27,3,1.83333333333333,1,2.25,2.42857142857143,1.90909090909091,50,50,50,3.33333333333333,2.33333333333333,4.33333333333333,5,5,5,.989133757186693,.276160561855208,.247968424665509,4.33333333333333,1.75,1.75
32,2,39,3,3.33333333333333,2.75,3.625,3.71428571428571,3.36363636363636,50,49,65,3.33333333333333,1,4.66666666666667,4,4,4,.862996281845028,-.309620711813135,.333424565961266,5.33333333333333,6.5,5.75
33,2,41,3,2.5,2.5,2.5,2.42857142857143,2.45454545454545,29,30,92,2,4,4.33333333333333,2,2,3,-.112143341707333,.313430395699544,.363391112031149,6.66666666666667,4.5,5
34,2,44,3,4.25,4,4.375,4.42857142857143,4.27272727272727,4,7,28,6,5.66666666666667,6.33333333333333,2,2,2,1.24491919037907,.682297451667477,.323159110074869,6.33333333333333,5,5.25
35,2,49,3,3,2.5,3.25,3.57142857142857,3.18181818181818,8,30,80,2,2.33333333333333,5,1,1,1,-.433490297960015,-.379494336829073,.26370672231782,6.66666666666667,7,7
36,1,25,3,4.08333333333333,4,4.125,4,4,100,100,100,1.33333333333333,1,1,7,7,1,.91190695025559,.508566523006312,-.686662061488886,7,6.25,5.5
37,1,53,2,3.58333333333333,3.75,3.5,3.85714285714286,3.81818181818182,0,10,69,1,1,6,1,1,5,-.904260997732745,-1.01681806748443,.854174872427593,5.66666666666667,5.25,4.5
38,2,26,5,1,1,1,1,1,50,50,51,1,1,1.33333333333333,1,1,1,-.44466044248593,-.646851803657256,-.991437221299807,5.66666666666667,2.5,2
39,1,46,3,1.5,1,1.75,1.28571428571429,1.18181818181818,0,47,83,5,4,5,1,1,1,.67839973708867,.359338982966034,.291857150221728,7,1,1
40,1,46,3,1.33333333333333,1,1.5,1.42857142857143,1.27272727272727,40,40,50,1.33333333333333,1,5.33333333333333,1,1,1,-.405198365762102,-.73934336961405,.129905683450211,3.66666666666667,4,4.5
41,1,45,2,1.33333333333333,1.25,1.375,1.42857142857143,1.36363636363636,16,18,39,1,1.33333333333333,3.33333333333333,1,1,2,-.757188820053764,-.835130301447334,-.440790855945156,6,4.75,2.75
42,2,23,3,2.41666666666667,2.5,2.375,2.57142857142857,2.54545454545455,0,0,100,1,1,5.33333333333333,1,1,5,-.904260997732745,-1.10930963344122,.906297945915999,1,4,1
43,1,51,2,2.66666666666667,3,2.5,2.42857142857143,2.63636363636364,77,46,56,2.33333333333333,2.66666666666667,2.66666666666667,3,4,4,.58765607487709,.248395817354926,-.28068031261877,5,2.25,3.25
44,1,46,3,3.08333333333333,2.75,3.25,3.42857142857143,3.18181818181818,29,49,94,3,3.33333333333333,6.66666666666667,3,3,4,.411228744567571,.401767784480353,1.15714203791169,6,4,4
45,2,44,3,2.91666666666667,2.75,3,3.14285714285714,3,49,49,50,2,2,2.66666666666667,4,4,4,.325136665191557,.0350253736569744,-.329369458123453,6,2,4.75
46,2,23,3,2.66666666666667,2.25,2.875,2.71428571428571,2.54545454545455,100,100,100,1,1,3,3,4,3,.269443117993675,.162086274566511,.0538384866140979,2.66666666666667,2.5,1.75
47,2,37,3,2.33333333333333,2.25,2.375,2.42857142857143,2.36363636363636,50,50,50,2.33333333333333,2.66666666666667,2.66666666666667,3,2,3,.340534995476436,.0415411679736089,-.431771282708665,5.33333333333333,3.25,3
48,2,23,3,1.41666666666667,1,1.625,1.57142857142857,1.36363636363636,20,50,70,1,1,3.66666666666667,1,5,3,-.720420775634019,-.184878139070855,-.000841478440665705,4.66666666666667,3.5,3
49,2,51,3,3.08333333333333,3.25,3,2.85714285714286,3,19,95,90,6,6.33333333333333,5.33333333333333,1,4,6,1.25757268151776,1.95093177349686,.951954731808354,5.66666666666667,4.5,5
50,1,48,3,2.91666666666667,1,3.875,3.71428571428571,2.72727272727273,0,0,99,1,1,7,4,4,7,-.522506489883561,-.762829385001423,1.59546043885544,6,5.75,2
51,2,36,3,3,3,3,3,3,46,46,46,1.33333333333333,1.33333333333333,6,4,4,5,.0317082087167002,-.220975566144219,.684324974838125,5.33333333333333,4.75,5
52,2,30,5,1,1,1,1,1,50,50,50,1,1,1,1,1,1,-.44466044248593,-.646851803657256,-1.09240494069458,4.33333333333333,1.75,2.25
53,2,45,3,2.41666666666667,1.75,2.75,2.71428571428571,2.36363636363636,52,52,52,1,1,1,1,1,1,-.426276420276057,-.628353490465898,-1.07617522552635,5,4.75,3
54,1,44,5,1,1,1,1,1,30,50,80,3,1,7,1,1,1,.165866943597613,-.646851803657256,.845227430330036,7,1,1
55,1,30,4,2,1.75,2.125,2.28571428571429,2.09090909090909,27,52,98,1.33333333333333,1.33333333333333,1.66666666666667,5,6,6,-.015688499660695,.0655062057230573,-.013611230347533,4.33333333333333,2.5,3.5
56,2,56,6,2.66666666666667,3,2.5,2.71428571428571,2.81818181818182,39,49,39,1,1,5,2,2,2,-.418521062023834,-.540607544106335,.0135475202618779,6,2.75,4
57,1,21,3,1.5,1,1.75,1.85714285714286,1.54545454545455,32,80,96,1.66666666666667,2,3.33333333333333,5,7,6,.161653743637178,.672761237460587,.434423363537518,4.33333333333333,3.75,5
58,1,23,4,2.08333333333333,2,2.125,2.28571428571429,2.18181818181818,25,25,85,2,3,5.33333333333333,4,4,4,.104528398673086,.136129155175653,.69896508441423,4,1.25,4
59,1,33,3,3.5,3.75,3.375,3.42857142857143,3.54545454545455,46,49,46,4.33333333333333,5.33333333333333,5,2,2,2,.968909036283628,.967233856700889,.103935177040973,7,6,5.25
60,1,33,3,1.41666666666667,1.25,1.5,1.57142857142857,1.45454545454545,50,50,60,1,1,1.66666666666667,3,3,3,-.19015743725314,-.415864971364056,-.62992710860372,5,2.25,2.25
61,1,31,3,3.08333333333333,2.25,3.5,3.85714285714286,3.27272727272727,49,50,100,2,4.33333333333333,5.66666666666667,1,1,1,-.0597058902712927,.464885737796524,.608649558774069,2.66666666666667,3.25,4.75
62,2,23,3,1.5,1.25,1.625,1.71428571428571,1.54545454545455,50,50,50,1,1,1,3,3,2,-.19015743725314,-.415864971364056,-.993063154956704,1.66666666666667,2,1.25
63,2,66,3,2.5,2.25,2.625,2.57142857142857,2.45454545454545,39,38,39,1,1,1,1,1,1,-.545772564640229,-.757841682805409,-1.18166837411983,6.33333333333333,1.25,3
64,1,30,2,3,2.5,3.25,3.14285714285714,2.90909090909091,50,50,50,3,2.33333333333333,4.33333333333333,2,2,2,.479186722862194,-.0657879256868414,-.066848759393259,4.33333333333333,2,3.25
65,1,32,3,1.91666666666667,1,2.375,2.28571428571429,1.81818181818182,51,53,73,1.66666666666667,3.66666666666667,7,7,7,5,.594956227910048,.978537360492924,1.18579057019273,3.66666666666667,1,1
66,1,24,3,1.16666666666667,1,1.25,1,1,45,45,90,1,1,3.66666666666667,3,3,2,-.236117492777822,-.462110754342453,.0621138875037376,4.33333333333333,3,2.75
67,1,34,3,2.66666666666667,3.25,2.375,2.42857142857143,2.72727272727273,14,51,50,4,4.66666666666667,3.66666666666667,1,1,1,.416130990536081,.63745352283374,-.364882240446027,5,1.25,1.75
68,1,25,3,1.25,1,1.375,1.28571428571429,1.18181818181818,28,28,53,1,1,1,2,4,1,-.519633184178134,-.503853000322401,-1.06806036794223,2.66666666666667,2.25,2.25
69,1,36,6,2.75,3,2.625,2.71428571428571,2.81818181818182,40,50,50,2,2,2,4,4,2,.240332931223985,.0529726324369464,-.71069871437317,4.66666666666667,2,2
70,1,34,3,1.83333333333333,1.5,2,1.85714285714286,1.72727272727273,0,0,0,1,1,1,1,1,1,-.904260997732745,-1.10930963344122,-1.49814781990027,4,1.75,1.25
71,2,19,1,1.91666666666667,1.75,2,2.14285714285714,2,38,28,38,1,1.33333333333333,2,6,6,3,.0812929373368079,-.156473552573247,-.712541074796229,5.66666666666667,3,4.5
72,1,21,3,1.08333333333333,1,1.125,1.14285714285714,1.09090909090909,50,50,50,1,1,1,2,4,1,-.317408939869535,-.300371555217456,-1.09240494069458,6.33333333333333,3,4.5
73,1,32,4,2.75,2.75,2.75,2.71428571428571,2.72727272727273,96,96,97,2.33333333333333,2,2,5,5,6,1.01473165708052,.581062808513963,.0680667350316698,5,2.5,5
74,2,36,5,2.58333333333333,2.75,2.5,2.57142857142857,2.63636363636364,11,50,100,1,1.66666666666667,4.66666666666667,4,4,4,-.421394367729262,-.0849825286741335,.637296447097738,3.33333333333333,2.25,1
75,2,48,5,1.08333333333333,1,1.125,1.14285714285714,1.09090909090909,61,61,83,2.33333333333333,2.66666666666667,2.66666666666667,4,4,2,.563734938610318,.378800483717034,-.264068584475009,5.66666666666667,4,2
76,1,32,3,3.33333333333333,3.25,3.375,3.57142857142857,3.45454545454545,58,41,61,3.33333333333333,2.66666666666667,4.66666666666667,3,4,4,.813381329272311,.189285590905695,.321562817621526,5,5,5
77,2,20,3,1.08333333333333,1.25,1,1,1.09090909090909,56,52,60,1,1,1.66666666666667,5,6,3,.119497634609267,-.0508864097328964,-.62992710860372,3.33333333333333,2.25,1.25
78,1,32,3,1.66666666666667,1,2,1.57142857142857,1.36363636363636,47,45,95,1.66666666666667,1.33333333333333,5.66666666666667,2,2,7,-.0791325500242957,-.469909657217392,1.18091781212589,2.66666666666667,1.25,1
79,1,32,2,3,3,3,3,3,18,22,16,1,1,1,1,1,1,-.738804797843891,-.905828188336278,-1.36831009855445,5.66666666666667,1.5,4
80,1,20,3,3.33333333333333,3.25,3.375,3.57142857142857,3.45454545454545,52,60,68,3.66666666666667,4,5.33333333333333,2,2,3,.761296727366864,.595071434856466,.474656691440006,4,4,5
81,1,34,3,2.08333333333333,1.75,2.25,2.14285714285714,2,50,33,71,1,1,5.33333333333333,4,4,3,-.0629059346367457,-.457607217344004,.482209437347198,3.66666666666667,4.5,3.5
82,2,24,3,3.33333333333333,3.25,3.375,3.28571428571429,3.27272727272727,50,50,65,1.66666666666667,1.66666666666667,2.66666666666667,2,3,6,-.0504932962768616,-.200475944820734,-.0188889557322441,3.33333333333333,3,2.75
83,2,24,4,1.33333333333333,1.25,1.375,1.42857142857143,1.36363636363636,50,95,70,1.66666666666667,1,3,1,1,1,-.181896066939547,-.230639756851686,-.372990618148366,6,4.5,3.25
84,1,26,3,1.5,2,1.25,1.28571428571429,1.54545454545455,65,32,32,1.66666666666667,1.66666666666667,1.33333333333333,1,3,5,-.0430034867749825,-.345398217887836,-.748252372446478,7,4,5
85,1,31,3,1.5,1.25,1.625,1.57142857142857,1.45454545454545,50,50,55,1,3,3.33333333333333,7,7,7,.318848573212438,.692275772852312,.175829861243785,5.66666666666667,2.25,4.5
86,2,20,3,1.08333333333333,1.25,1,1,1.09090909090909,53,39,66,1,1,3.33333333333333,4,5,4,-.0353299013219367,-.286618861623328,-.0199460908509987,3.66666666666667,2,2.25
87,2,39,5,1.16666666666667,1,1.25,1.28571428571429,1.18181818181818,49,49,83,1,1.33333333333333,3,1,3,1,-.453852453590866,-.304555171217241,-.267497469554887,6,4.25,5.5
88,1,30,3,2.66666666666667,2.75,2.625,2.71428571428571,2.72727272727273,88,94,77,1,1,3.33333333333333,4,5,1,.286390487350834,.222084751139036,-.232513869790931,5,2.25,3
89,1,31,3,2.75,1.5,3.375,3.71428571428571,2.90909090909091,50,50,50,3.66666666666667,3.66666666666667,4,4,4,4,.99528926952453,.642902972678586,.0725656039621297,4.33333333333333,4,2
90,1,32,3,5,5,5,5,5,50,50,72,1,1,6,7,7,7,.318848573212438,.0461086932223453,1.07720301665568,3.66666666666667,1,2.5
91,2,21,3,1.58333333333333,1.25,1.75,1.85714285714286,1.63636363636364,50,50,50,3.66666666666667,4,4,4,4,4,.997415710389781,.733566701192873,.0527137382696412,5,2,3.25
92,2,23,5,1.25,1,1.375,1.42857142857143,1.27272727272727,50,50,50,1,1,1,1,4,1,-.44466044248593,-.300371555217456,-1.09240494069458,6.33333333333333,4.75,4.75
93,2,21,3,1,1,1,1,1,50,50,50,1,1,2.33333333333333,3,5,2,-.19015743725314,-.184878139070855,-.627771785408759,5,2.5,4.25
94,2,23,3,3.08333333333333,3,3.125,3,3,49,50,59,2.33333333333333,2.33333333333333,4.33333333333333,4,4,6,.457531266555269,.151969043524315,.410417995814162,4.33333333333333,3.5,2.75
95,1,31,3,3.33333333333333,3,3.5,3.57142857142857,3.36363636363636,50,90,60,3.33333333333333,3,3,1,1,1,.480178553563219,.412406631110136,-.460259271684182,3,2,2.5
96,1,33,3,2.58333333333333,2,2.875,3.14285714285714,2.72727272727273,50,50,98,1,1,6,2,2,4,-.317408939869535,-.531358387510656,.990163956629021,4,4.25,4
97,2,24,3,3.33333333333333,3,3.5,3.42857142857143,3.27272727272727,30,43,65,1,2.33333333333333,4,4,4,4,-.246746156735472,.0913912886411004,.174436602031348,3.66666666666667,2,1.75
98,1,30,3,2.08333333333333,2,2.125,2.14285714285714,2.09090909090909,56,10,100,2.33333333333333,1,5,7,2,2,.903680658981111,-.90132465133783,.50855383289282,5,2,4.25
99,1,30,3,2.08333333333333,2,2.125,2,2,100,100,100,7,7,7,7,7,7,3.16185679405869,2.57644303582697,1.60357529643955,3.66666666666667,2.25,2.5
100,2,20,3,2.41666666666667,3,2.125,2.28571428571429,2.54545454545455,41,63,80,1,1.66666666666667,4.33333333333333,1,1,4,-.527388542430356,-.311223741370103,.385206472452145,5.66666666666667,6,4.75
101,2,24,3,2.83333333333333,2.25,3.125,3.28571428571429,2.90909090909091,45,48,79,4,3.66666666666667,4,3,4,4,.955586340021896,.59867577254556,.288044608208942,5,1,1.75
102,2,24,4,3,3.5,2.75,3,3.18181818181818,27,50,71,1.66666666666667,1.66666666666667,5.33333333333333,6,5,4,.245020824752036,.0392089896567594,.588417117083975,5.66666666666667,5,6.75
103,2,24,4,1.5,1.75,1.375,1.42857142857143,1.54545454545455,39,49,58,1.33333333333333,1.33333333333333,1.66666666666667,3,4,4,-.157811737611103,-.201926198541474,-.546815038034075,5.66666666666667,5.75,4.25
104,1,35,3,1.66666666666667,1.5,1.75,1.42857142857143,1.45454545454545,0,10,20,2.66666666666667,2.33333333333333,3.66666666666667,3,2,1,.0112534075701861,-.427421506940933,-.595341996275857,2.33333333333333,2.25,3.25
105,2,22,3,2.83333333333333,2.75,2.875,3,2.90909090909091,60,50,70,1,1,3.66666666666667,4,4,6,.0290141764126174,-.300371555217456,.297183878772953,4,5.75,4
106,2,23,3,1.66666666666667,1.5,1.75,1.85714285714286,1.72727272727273,8,29,78,1,1,4.66666666666667,4,4,2,-.44897040104407,-.494603843726722,.240234143079,4.66666666666667,3.5,4.75
107,2,20,3,1.08333333333333,1.25,1,1,1.09090909090909,57,36,76,3.66666666666667,5.33333333333333,5.33333333333333,1,1,1,.677878839409901,.722803302626165,.334026086638265,5,5,3.5
108,2,22,3,1.41666666666667,1.25,1.5,1.57142857142857,1.45454545454545,43,42,41,1,1,1,1,2,2,-.509004520220484,-.605351640276091,-1.06609687321373,5.66666666666667,4.5,3.75
109,1,27,3,2.83333333333333,2.5,3,3,2.81818181818182,50,50,70,1,1.33333333333333,3.33333333333333,4,4,5,-.0629059346367457,-.183978939761502,.108049270071763,3,2.75,4
110,2,23,2,1.91666666666667,2,1.875,1.71428571428571,1.81818181818182,47,44,45,1.33333333333333,1,1.66666666666667,2,5,4,-.213602785411153,-.240373078644931,-.649248147780215,3.66666666666667,2,2.5
111,2,24,3,3.83333333333333,4,3.75,4.14285714285714,4.09090909090909,49,50,100,1,1.33333333333333,2,1,1,6,-.453852453590866,-.539157290385595,.0855454137851061,4.66666666666667,5.5,6.5
112,1,60,5,1.33333333333333,1.5,1.25,1.28571428571429,1.36363636363636,30,30,70,4,4,5,2,2,2,.690454670831456,.317596736986085,.294885903908139,3.33333333333333,1.25,2
113,2,22,3,2.08333333333333,1.5,2.375,2.42857142857143,2.09090909090909,0,20,59,1,1,1,1,4,1,-.904260997732745,-.577846253087836,-1.01937122243755,5.33333333333333,3,2.5
114,2,24,3,1,1,1,1,1,16,49,92,4,4,4.66666666666667,3,3,3,.689018017978743,.608824128450593,.473781616991181,5.33333333333333,4,3
115,2,22,3,1.5,1.5,1.5,1.42857142857143,1.45454545454545,8,44,49,1,1,4,1,1,1,-.830724908893254,-.702346743231333,-.264098225678562,5.33333333333333,4.75,3.75
116,2,31,5,1.5,1.5,1.5,1.57142857142857,1.54545454545455,55,60,73,2,3,4,1,3,3,-.00247818961852928,.357586082959874,.116355956122331,6,5.5,3
117,2,23,3,1.58333333333333,1,1.875,2,1.63636363636364,0,0,0,1,1,1,2,2,1,-.77700949511635,-.993816217294624,-1.49814781990027,6,5.5,5.25
118,2,49,5,3.58333333333333,4.5,3.125,3.28571428571429,3.72727272727273,50,50,50,1,1,3,4,5,1,-.0629059346367457,-.184878139070855,-.54446788637266,5,3.25,3.75
119,2,22,3,2.16666666666667,2.75,1.875,2,2.27272727272727,45,69,89,2,2,3,3,3,3,.161117118155417,.104515089423961,-.0125130422713262,3.66666666666667,2.75,2.5
120,2,28,3,2.91666666666667,3,2.875,3.14285714285714,3.09090909090909,100,100,100,2,3,3.33333333333333,4,4,7,.793929231543309,.838514002035897,.566970395916073,2,2,4.5
121,2,22,4,2.41666666666667,2.25,2.5,2.28571428571429,2.27272727272727,54,13,43,1.66666666666667,2,7,4,3,7,.236626485329382,-.435000225589208,1.14102841414506,3.66666666666667,4.5,3
122,2,29,3,3.41666666666667,3.25,3.5,3.42857142857143,3.36363636363636,99,99,99,7,7,7,3,3,3,2.64365877248817,2.10522021464489,1.19809329590394,4.33333333333333,2,4.75
123,2,64,5,3,2.75,3.125,3.28571428571429,3.09090909090909,50,53,55,5,5.33333333333333,5.66666666666667,5,5,5,1.65434723214523,1.34201262933912,.667565870131832,4,4.5,3
124,2,35,3,4,3.75,4.125,4.14285714285714,4,30,50,64,1.66666666666667,2,4,3,1,7,-.107082015759193,-.289341274716313,.437629341969459,5.66666666666667,3.5,3.25
